FID_Orig,longitude,latitude,education,income,povertylevel,pct_white,pct_black,pct_americanindianandalaskanativ,pct_asian,pct_nativehawaiianandotherpacifi,pct_someotherrace,pct_twoormoreraces,sale_year,parcel_distance,secchi,distance_shoreline,distance_nyc,distance_golf,distance_park,wateraccess,bayfront,waterhouse,parcel_area,parcel_length,fullbathrooms,totalbathrooms,totalbathroomsedited,totallivingarea,saleprice,.0025FMV,assessedvalue,valuedifference,soldmorethanonceinyear,soldmorethanonceovertheyears,saleacres,nmbofparcels,wqdistance,shorelinedistance,shorelinedistancedv3_1000,shorelinedistancedv1000_2000,shorelinedistancedv2000_3000,shorelinedistancedv3000_4000,wq_shorelinedistancecv,lnsecchi,lnsalesprice,lnsaleprice,wqshorelinedistancedv3_1000,wqshorelinedistancedv1000_2000,wqshorelinedistancedv2000_3000,wqshorelinedistancedv3000_4000,wqwateraccess,wqbayfront,wqwaterhouse,dv_2002,dv_2003,dv_2004,dv_2005,dv_2006,dv_2007,dv_2008,dv_2009,dv_2010,dv_2011,dv_2012,dv_2013,dv_2014,dv_2015
90969,-73.67284,40.67923,55.0681,140833,0,100,0,0,0,0,0,0,2015,3968.577,1,3003.799,4468.65,3079.232,1409.219,0,0,0,6658.254,334.2899,2,2,2,1178,427000,837,334800,92200,0,0,0.15,1,3003.799,4,0,0,0,1,4,0,12.96454,12.96454,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45345,-73.6724,40.67821,58.9535,110192,0,83.7156,3.21101,0,13.0734,0,0,0,2012,3849.532,1.714286,2888.486,4510.723,3106.904,1396.497,0,0,0,4232.776,294.4289,2,3,2.5,1326,375000,922,368800,6200,0,0,0.1,1,4951.689,3,0,0,1,0,5.142857,0.5389965,12.83468,12.83468,0,0,1.714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
93456,-73.64636,40.67058,80.0965,142989,0,94.6636,2.32019,0,0,0,3.01624,0,2014,2935.922,1.416667,1668.979,6785.533,1211.584,99.39169,0,0,0,17447.73,548.0331,1,2,1.5,1428,700000,2177,870800,-170800,0,0,0.39,1,2364.387,2,0,1,0,0,2.833333,0.3483067,13.45884,13.45884,0,1.416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
51818,-73.64798,40.66705,80.0965,142989,0,94.6636,2.32019,0,0,0,3.01624,0,2015,2522.539,1,1254.319,6683.025,1458.226,184.0756,0,0,0,13096.24,498.1927,2,2,2,2580,875000,1455,582000,293000,0,0,0.3,1,1254.319,2,0,1,0,0,2,0,13.68198,13.68198,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51818,-73.64798,40.66705,80.0965,142989,0,94.6636,2.32019,0,0,0,3.01624,0,2015,2522.539,1,1254.319,6683.025,1458.226,184.0756,0,0,0,13096.24,498.1927,2,2,2,2580,875000,1455,582000,293000,0,0,0.3,1,1254.319,2,0,1,0,0,2,0,13.68198,13.68198,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
117224,-73.64785,40.66724,80.0965,142989,0,94.6636,2.32019,0,0,0,3.01624,0,2013,2544.829,1.083333,1277.06,6697.633,1439.934,181.6607,0,0,0,13133.8,498.6944,3,3,3,2361,879000,1332,532800,346200,0,0,0.3,1,1383.482,2,0,1,0,0,2.166667,0.0800427,13.68654,13.68654,0,1.083333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
178075,-73.64642,40.66821,80.0965,142989,0,94.6636,2.32019,0,0,0,3.01624,0,2015,2681.011,1,1421.888,6817.525,1287.442,230.0398,0,0,0,13161.58,499.6269,2,3,2.5,2340,610000,986,394400,215600,0,0,0.3,2,1421.888,2,0,1,0,0,2,0,13.32121,13.32121,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
178075,-73.64642,40.66821,80.0965,142989,0,94.6636,2.32019,0,0,0,3.01624,0,2015,2681.011,1,1421.888,6817.525,1287.442,230.0398,0,0,0,13161.58,499.6269,2,3,2.5,2340,610000,986,394400,215600,0,0,0.3,2,1421.888,2,0,1,0,0,2,0,13.32121,13.32121,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41686,-73.6482,40.66673,80.0965,142989,0,94.6636,2.32019,0,0,0,3.01624,0,2015,2483.018,1,1214.092,6658.075,1490.178,191.4129,0,0,0,14456.71,521.9113,2,2,2,1670,785000,1607,642800,142200,0,0,0.32,1,1214.092,2,0,1,0,0,2,0,13.57344,13.57344,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41686,-73.6482,40.66673,80.0965,142989,0,94.6636,2.32019,0,0,0,3.01624,0,2015,2483.018,1,1214.092,6658.075,1490.178,191.4129,0,0,0,14456.71,521.9113,2,2,2,1670,785000,1607,642800,142200,0,0,0.32,1,1214.092,2,0,1,0,0,2,0,13.57344,13.57344,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
